start_time,Airln_cd_8L,Airln_cd_A6,Airln_cd_DR,Airln_cd_KY,Flt_nbr_6521,Flt_nbr_6523,Flt_nbr_7101,Flt_nbr_8239,Flt_nbr_8291,Flt_nbr_8321,Flt_nbr_961,Flt_nbr_9895,Flt_nbr_9945,Flt_nbr_9947,AirCrft_Typ_319,AirCrft_Typ_320,AirCrft_Typ_321,AirCrft_Typ_330,AirCrft_Typ_737,Cls_Cd_Y,Pax_Qty_y,ds,y
2019-01-11 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.47577092511013214,2019-01-11 07:05:00,-0.06293996060850293
2019-01-11 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9735682819383262,2019-01-11 09:30:00,-0.6894570141852653
2019-01-11 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.42290748898678415,2019-01-11 23:20:00,-0.6127067369837986
2019-01-12 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4801762114537445,2019-01-12 07:05:00,0.27872613631288884
2019-01-12 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2378854625550661,2019-01-12 07:05:00,-0.08913251552646384
2019-01-12 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9823788546255507,2019-01-12 09:30:00,-0.6738965322995422
2019-01-12 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.34801762114537443,2019-01-12 18:20:00,0.5992388379305572
2019-01-12 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.4845814977973569,2019-01-12 23:20:00,-0.8731925262736246
2019-01-13 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2863436123348018,2019-01-13 07:05:00,0.04698016943833061
2019-01-13 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4185022026431718,2019-01-13 07:05:00,-0.5581619873132039
2019-01-13 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.8986784140969164,2019-01-13 09:30:00,-0.8546971492279611
2019-01-13 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.4801762114537445,2019-01-13 23:20:00,-0.576048235174729
2019-01-14 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5066079295154184,2019-01-14 07:05:00,-0.4345641383134396
2019-01-14 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2995594713656388,2019-01-14 07:05:00,0.0669153063737766
2019-01-14 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.920704845814978,2019-01-14 09:30:00,-0.9395876073447347
2019-01-14 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.47577092511013214,2019-01-14 23:20:00,-0.8941797954362192
2019-01-15 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.38325991189427316,2019-01-15 07:05:00,0.6839077945258257
